"articleNumber","name","brand","category","subcategory","packSizeValue","packSizeUnit","salesUnit","unitsPerSalesUnit","ingredients","dietaryTags","allergens","origin","priceCHF","priceBasis","sourceUrl","verifiedAt","verificationStatus","notes","provenance","identityProvenance","packProvenance","priceProvenance","nameConflict","packConflict","conflictFields","conflictDetails","conflictResolution","resolutionSourceUrl"
"001142","Rinds-Suppengulasch, geschnitten,","","meat_poultry","","1","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-03/2024_0062_tg-care_kompetenz_fleisch_d_94986_1.pdf","2026-08-22T12:54:07.146Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"001159","Hackfleisch gemischt (R,S), 5 mm, ca. 5 kg","Quality","meat_poultry","minced_meat","5","kg","pack","","","","","","12.99","per_kg","","","seed_unverified","","seed","seed","seed","seed","false","false","","","",""
"001271","Kalbs-Halsbraten gebunden, ca. 1,3 kg","Quality","meat_poultry","veal","1.3","kg","pack","","","","","","27.69","per_kg","","","seed_unverified","","seed","seed","seed","seed","false","false","","","",""
"001276","Kalbs-Schulterbraten von Hand gebunden,","","meat_poultry","","1.5","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-03/2024_0062_tg-care_kompetenz_fleisch_d_94986_1.pdf","2026-08-22T12:54:07.146Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"001283","Kalbs-Brust, Rollbraten,","","meat_poultry","","1.4","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-03/2024_0062_tg-care_kompetenz_fleisch_d_94986_1.pdf","2026-08-22T12:54:07.146Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"001366","Schweins-Nierstück mit Huft, ca. 4 kg","Quality","meat_poultry","pork","4","kg","pack","","","","","","10.69","per_kg","","","seed_unverified","","seed","seed","seed","seed","false","false","","","",""
"001382","Schweins-Halsbraten, längs halbiert, gebunden,","","meat_poultry","","2.2","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-03/2024_0062_tg-care_kompetenz_fleisch_d_94986_1.pdf","2026-08-22T12:54:07.146Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"001411","Lamm Gigot gerollt, Schweiz","","meat_poultry","","1","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-03/2024_0062_tg-care_kompetenz_fleisch_d_94986_1.pdf","2026-08-22T12:54:07.146Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"001412","Lamm Gigot ohne Bein, hohl entbeint,","","meat_poultry","","2.3","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-03/2024_0062_tg-care_kompetenz_fleisch_d_94986_1.pdf","2026-08-22T12:54:07.146Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"001482","Bell Poulet Oberschenkel Steak, ohne Knochen, ohne Haut, 50–120 g,","","meat_poultry","","2","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-03/2024_0062_tg-care_kompetenz_fleisch_d_94986_1.pdf","2026-08-22T12:54:07.146Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
