articleNumber,name,brand,category,subcategory,packSizeValue,packSizeUnit,salesUnit,unitsPerSalesUnit,ingredients,dietaryTags,allergens,origin,priceCHF,priceBasis,sourceUrl,verifiedAt,verificationStatus,notes
006280,Meatless Burger,Quality,plant_based,,100,g,case,30,,vegan,,,1.46,30 x 100 g,https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf,2026-08-22T12:54:01.714Z,verified_public_source,Extracted from an official public Transgourmet PDF.
006810,Burger,The Green Mountain,plant_based,,120,g,case,24,,vegan,,,,,https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf,2026-08-22T12:54:01.714Z,verified_public_source,Extracted from an official public Transgourmet PDF.
005898,Burger,The Beyond,plant_based,,113,g,case,40,,vegan,,,,,https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf,2026-08-22T12:54:01.714Z,verified_public_source,Extracted from an official public Transgourmet PDF.
006060,It's Vegic Bulgur Gemüse Burger,Hilcona,plant_based,,1.75,kg,case,3,,,,,,,https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf,2026-08-22T12:54:01.714Z,verified_public_source,Extracted from an official public Transgourmet PDF.
030540,Sensational Burger,Garden Gourmet,plant_based,,113,g,case,51,,vegan,,,,,https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf,2026-08-22T12:54:01.714Z,verified_public_source,Extracted from an official public Transgourmet PDF.
006249,Sensational Burger verzehrfertig,Garden Gourmet,plant_based,,120,g,case,58,,,,,,,https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf,2026-08-22T12:54:01.714Z,verified_public_source,Extracted from an official public Transgourmet PDF.
030532,Linsenburger,Garden Gourmet,plant_based,,80,g,case,75,,vegan,,,,,https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf,2026-08-22T12:54:01.714Z,verified_public_source,Extracted from an official public Transgourmet PDF.
069581,Jackfruit Burger,,plant_based,,1,kg,case,4,,vegan,,,,,https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf,2026-08-22T12:54:01.714Z,verified_public_source,Extracted from an official public Transgourmet PDF.
006247,Vegan Crispy Chickeriki Burger,The Vegetarian Butcher,plant_based,,90,g,case,20,,vegan,,,,,https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf,2026-08-22T12:54:01.714Z,verified_public_source,Extracted from an official public Transgourmet PDF.
006257,Raw Burger,The Vegetarian Butcher,plant_based,,113,g,case,20,,vegan,,,,,https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf,2026-08-22T12:54:01.714Z,verified_public_source,Extracted from an official public Transgourmet PDF.
