articleNumber,name,brand,category,subcategory,packSizeValue,packSizeUnit,salesUnit,unitsPerSalesUnit,priceCHF,priceBasis,sourceUrl,verifiedAt,verificationStatus,notes
025040,"Quality Kaffeerahm Portionen 15%, UHT, 200 x 12 g",Quality,dairy_eggs,cream,2.4,kg,case,,9.55,per_pack,,,seed_unverified,
042020,"Gurken 400 - 500 g / St, 4 St",Quality,vegetables_fruit,cucumbers,4,piece,pack,4,1.75,per_piece,,,seed_unverified,
048824,"Zitronen, 2 kg",Quality,vegetables_fruit,lemons,2,kg,bag,,2.1,per_kg,,,seed_unverified,
022600,"Quality Vollmilch 3,5%, UHT, 12 x 1 l",Quality,dairy_eggs,milk,12,l,case,,1.29,per_liter,,,seed_unverified,
040967,"Cherry Tomaten Rispen, 500 g",Quality,vegetables_fruit,tomatoes,500,g,tray,,4.95,per_pack,,,seed_unverified,
044106,"Peperoni gemischt, 2 kg",Quality,vegetables_fruit,peppers,2,kg,bag,,5.15,per_kg,,,seed_unverified,
040328,"Basilikum, 250 g",Egli's frische Kräuter,vegetables_fruit,fresh_herbs,250,g,pack,,7.3,per_pack,,,seed_unverified,
046922,"Blueberries, 500 g",Quality,vegetables_fruit,berries,500,g,tray,,4.4,per_pack,,,seed_unverified,
073335,"Quality Gastro-Bratwurst, 10 x 160 g",Quality,meat_poultry,sausage,1.6,kg,pack,10,0.99,per_piece,,,seed_unverified,
045915,"Zwiebeln rot mittel, 1 kg",Quality,vegetables_fruit,onions,1,kg,bag,,2.25,per_pack,,,seed_unverified,
683440,"Coca-Cola 6 x 1,5 l",Coca Cola,non_alcoholic_drinks,soft_drinks,9,l,case,,1.99,per_liter,,,seed_unverified,
040972,"Cherry Rispentomaten, 3 kg",Quality,vegetables_fruit,tomatoes,3,kg,tray,,8.4,per_kg,,,seed_unverified,
048827,"Zitronen, 6 kg",Quality,vegetables_fruit,lemons,6,kg,case,,1.9,per_kg,,,seed_unverified,
428120,"Nectaflor Blütenhonig, 2,8 kg",Nectaflor,dessert_ingredients,honey,2.8,kg,bottle,,23.5,per_pack,,,seed_unverified,
081591,"Bell Speckwürfeli geräucht, ca. 2,5 kg",Bell,meat_poultry,bacon,2.5,kg,pack,,11.99,per_kg,,,seed_unverified,
333951,"Cailler Cuisine Kakaopulver, 800 g",Cailler,dessert_ingredients,cocoa_powder,800,g,pack,,14.0,per_pack,,,seed_unverified,
041217,"Cipollotte / Bundzwiebeln, gepackt, 2 Bund, ca. 3 St",Quality,vegetables_fruit,spring_onions,2,piece,pack,2,1.75,per_piece,,,seed_unverified,
002114,"Schweins-Hals, ca. 2 kg",Quality,meat_poultry,pork,2,kg,pack,,10.99,per_kg,,,seed_unverified,
027220,"Emmi Premium Butterportionen, Würfel, 100 x 10 g",Emmi,dairy_eggs,butter,1,kg,case,,21.95,per_pack,,,seed_unverified,
